"","source","Round","Day","Date","Time (ET)","...5","Favorite(Seed)","Score","Spread","...9","Underdog(Seed)","Over/Under"
"1","Year_2021_Playoffs","AFC Wild Card","Sat","Jan 15, 2022","4:30","@","Cincinnati Bengals (4)","W 26-19","W -5.5",NA,"Las Vegas Raiders (5)","U 49"
"2","Year_2021_Playoffs","AFC Wild Card","Sat","Jan 15, 2022","8:15","@","Buffalo Bills (3)","W 47-17","W -4",NA,"New England Patriots (6)","O 44"
"3","Year_2021_Playoffs","NFC Wild Card","Sun","Jan 16, 2022","1:00","@","Tampa Bay Buccaneers (2)","W 31-15","W -8.5",NA,"Philadelphia Eagles (7)","O 45.5"
"4","Year_2021_Playoffs","NFC Wild Card","Sun","Jan 16, 2022","4:40","@","Dallas Cowboys (3)","L 17-23","L -3",NA,"San Francisco 49ers (6)","U 51"
"5","Year_2021_Playoffs","AFC Wild Card","Sun","Jan 16, 2022","8:15","@","Kansas City Chiefs (2)","W 42-21","W -12.5",NA,"Pittsburgh Steelers (7)","O 46.5"
"6","Year_2021_Playoffs","NFC Wild Card","Mon","Jan 17, 2022","8:15","@","Los Angeles Rams (4)","W 34-11","W -3.5",NA,"Arizona Cardinals (5)","U 49.5"
"7","Year_2021_Playoffs","AFC Divisional","Sat","Jan 22, 2022","4:30","@","Tennessee Titans (1)","L 16-19","L -4",NA,"Cincinnati Bengals (4)","U 47.5"
"8","Year_2021_Playoffs","NFC Divisional","Sat","Jan 22, 2022","8:15","@","Green Bay Packers (1)","L 10-13","L -5.5",NA,"San Francisco 49ers (6)","U 47"
"9","Year_2021_Playoffs","NFC Divisional","Sun","Jan 23, 2022","3:00","@","Tampa Bay Buccaneers (2)","L 27-30","L -3",NA,"Los Angeles Rams (4)","O 48"
"10","Year_2021_Playoffs","AFC Divisional","Sun","Jan 23, 2022","6:30","@","Kansas City Chiefs (2)","W 42-36 (OT)","W -2",NA,"Buffalo Bills (3)","O 54.5"
"11","Year_2021_Playoffs","AFC Championship","Sun","Jan 30, 2022","3:00","@","Kansas City Chiefs (1)","L 24-27 (OT)","L -7",NA,"Cincinnati Bengals (4)","U 55"
"12","Year_2021_Playoffs","NFC Championship","Sun","Jan 30, 2022","6:30","@","Los Angeles Rams (4)","W 20-17","L -3.5",NA,"San Francisco 49ers (6)","U 46"
"13","Year_2021_Playoffs","Super Bowl LVI","Sun","Feb 13, 2022","6:30","N","Los Angeles Rams (4)","W 23-20","L -4.5",NA,"Cincinnati Bengals (4)","U 48.5"
"14","Year_2022_Playoffs","NFC Wild Card","Sat","Jan 14, 2023","4:30","@","San Francisco 49ers (2)","W 41-23","W -9.5","","Seattle Seahawks (7)","O 42"
"15","Year_2022_Playoffs","AFC Wild Card","Sat","Jan 14, 2023","8:15","","Los Angeles Chargers (5)","L 30-31","L -2.5","@","Jacksonville Jaguars (4)","O 47.5"
"16","Year_2022_Playoffs","AFC Wild Card","Sun","Jan 15, 2023","1:00","@","Buffalo Bills (2)","W 34-31","L -13.5","","Miami Dolphins (7)","O 43.5"
"17","Year_2022_Playoffs","NFC Wild Card","Sun","Jan 15, 2023","4:30","@","Minnesota Vikings (3)","L 24-31","L -3","","New York Giants (6)","O 48"
"18","Year_2022_Playoffs","AFC Wild Card","Sun","Jan 15, 2023","8:15","@","Cincinnati Bengals (3)","W 24-17","L -8.5","","Baltimore Ravens (6)","O 40.5"
"19","Year_2022_Playoffs","NFC Wild Card","Mon","Jan 16, 2023","8:15","","Dallas Cowboys (5)","W 31-14","W -3","@","Tampa Bay Buccaneers (4)","U 45.5"
"20","Year_2022_Playoffs","AFC Divisional","Sat","Jan 21, 2023","4:30","@","Kansas City Chiefs (1)","W 27-20","L -9","","Jacksonville Jaguars (4)","U 52.5"
"21","Year_2022_Playoffs","NFC Divisional","Sat","Jan 21, 2023","8:15","@","Philadelphia Eagles (1)","W 38-7","W -7.5","","New York Giants (6)","U 48"
"22","Year_2022_Playoffs","AFC Divisional","Sun","Jan 22, 2023","3:00","@","Buffalo Bills (2)","L 10-27","L -5.5","","Cincinnati Bengals (3)","U 49"
"23","Year_2022_Playoffs","NFC Divisional","Sun","Jan 22, 2023","6:30","@","San Francisco 49ers (2)","W 19-12","W -4","","Dallas Cowboys (5)","U 47"
"24","Year_2022_Playoffs","NFC Championship","Sun","Jan 29, 2023","3:00","@","Philadelphia Eagles (1)","W 31-7","W -2.5","","San Francisco 49ers (2)","U 45.5"
"25","Year_2022_Playoffs","AFC Championship","Sun","Jan 29, 2023","6:30","@","Kansas City Chiefs (1)","W 23-20","W -1.5","","Cincinnati Bengals (3)","U 48"
"26","Year_2022_Playoffs","Super Bowl LVII","Sun","Feb 12, 2023","6:30","@","Philadelphia Eagles (1)","L 35-38","L -1","","Kansas City Chiefs (1)","O 51"
"27","Year_2023_Playoffs","AFC Wild Card","Sat","Jan 13, 2024","4:30","","Cleveland Browns (5)","L 14-45","L -2","@","Houston Texans (4)","O 44.5"
"28","Year_2023_Playoffs","AFC Wild Card","Sat","Jan 13, 2024","8:10","@","Kansas City Chiefs (3)","W 26-7","W -4.5","","Miami Dolphins (6)","U 43.5"
"29","Year_2023_Playoffs","NFC Wild Card","Sun","Jan 14, 2024","4:30","@","Dallas Cowboys (2)","L 32-48","L -7","","Green Bay Packers (7)","O 52"
"30","Year_2023_Playoffs","NFC Wild Card","Sun","Jan 14, 2024","8:15","@","Detroit Lions (3)","W 24-23","L -3","","Los Angeles Rams (6)","U 53"
"31","Year_2023_Playoffs","AFC Wild Card","Mon","Jan 15, 2024","4:30","@","Buffalo Bills (2)","W 31-17","W -10","","Pittsburgh Steelers (7)","O 39.5"
"32","Year_2023_Playoffs","NFC Wild Card","Mon","Jan 15, 2024","8:15","","Philadelphia Eagles (5)","L 9-32","L -2.5","@","Tampa Bay Buccaneers (4)","U 43"
"33","Year_2023_Playoffs","AFC Divisional","Sat","Jan 20, 2024","4:30","@","Baltimore Ravens (1)","W 34-10","W -10","","Houston Texans (4)","P 44"
"34","Year_2023_Playoffs","NFC Divisional","Sat","Jan 20, 2024","8:15","@","San Francisco 49ers (1)","W 24-21","L -10.5","","Green Bay Packers (7)","U 50.5"
"35","Year_2023_Playoffs","NFC Divisional","Sun","Jan 21, 2024","3:00","@","Detroit Lions (3)","W 31-23","W -6","","Tampa Bay Buccaneers (4)","O 49.5"
"36","Year_2023_Playoffs","AFC Divisional","Sun","Jan 21, 2024","6:30","@","Buffalo Bills (2)","L 24-27","L -2.5","","Kansas City Chiefs (3)","O 45.5"
"37","Year_2023_Playoffs","AFC Championship","Sun","Jan 28, 2024","3:00","@","Baltimore Ravens (1)","L 10-17","L -4.5","","Kansas City Chiefs (3)","U 44.5"
"38","Year_2023_Playoffs","NFC Championship","Sun","Jan 28, 2024","6:30","@","San Francisco 49ers (1)","W 34-31","L -7.5","","Detroit Lions (3)","O 53"
"39","Year_2023_Playoffs","Super Bowl LVIII","Sun","Feb 11, 2024","6:30","N","San Francisco 49ers (1)","L 22-25 (OT)","L -2","","Kansas City Chiefs (3)","P 47"
